Network,Generations,Time,Cost
A,1,2.29373,2655.3845999999985
A,10,22.32506,2556.6027999999983
A,20,44.59437,2549.351699999998
A,30,66.85114,2348.0439999999985
A,40,89.03641,2259.2242999999985
A,50,111.00678,2195.2558999999983
B,1,7.49203,4953.229999999999
B,10,73.63217,4859.654599999998
B,20,146.81166,4928.106399999999
B,30,220.976,4811.704999999997
B,40,295.08128,4796.566599999997
B,50,367.82326,4851.7514
