Network,Cycles,Time,Cost
A,1,22.36408,2746.3227999999986
A,5,111.27979,2269.4597999999983
A,10,223.26388,2158.340299999998
B,1,74.67979,5152.313099999998
B,5,369.26325,4856.771999999997
B,10,737.55811,4818.018299999995
