Mutation_Prob,Crossover_Prob,Cost
0.05,0.1,2457.210599999998
0.05,0.5,2206.273899999998
0.05,0.9,1581.8803999999984
0.05,0.95,2357.3406999999984
0.1,0.1,2529.9093999999986
0.1,0.5,1550.5512999999987
0.1,0.9,1565.3028999999988
0.1,0.95,2418.3111999999987
0.2,0.1,2035.8895999999982
0.2,0.5,1446.0895999999987
0.2,0.9,1450.9780999999987
0.2,0.95,1464.8751999999986
0.9,0.1,1482.1914999999988
0.9,0.5,1560.8348999999987
0.9,0.9,1509.6759999999986
0.9,0.95,1474.9713999999988
